			"00000000000"	7
			"00000000100"	8
			"00000001000"	2
			"01000000000"	4
			"01000001000"	4
			"10100000001"	91
			"10100000101"	40
			"10100110000"	27
			"10100110001"	34
			"10100111000"	1
			"10110000001"	540
			"10110000101"	16
			"10110110001"	401
			"10110110011"	369
			"11000111010"	27
			"11100000001"	120
			"11100110000"	28
			"11100110001"	187
			"11100110011"	52
			"11100111000"	2
			"11110110011"	88

1			"00000000000"	60
			"00000000010"	68
			"00100010000"	14
			"00100010100"	8
			"00101010001"	79
			"00101010101"	4
			"00101110001"	535
			"00101110101"	28
			"00101111001"	8
			"01000000010"	4
			"01100111000"	72
			"10000000110"	50
			"10001010011"	8
			"10001010111"	4
			"10101010111"	2
			"10101110101"	160
			"10101111001"	46
			"10101111101"	90
			"11101111001"	808

2			"00000000000"	1
			"00000001011"	387
			"00000001111"	117
			"00000101011"	212
			"00000101111"	67
			"00100001111"	117
			"01000000000"	1
			"01000001111"	170
			"01000101111"	69
			"01100001111"	408
			"01100101111"	67
			"10100001111"	432

3			"00000000000"	1
			"00001001001"	12
			"00001011001"	12
			"00100000000"	1
			"01001000010"	144
			"01001001001"	4
			"01001001010"	138
			"01001001011"	85
			"01001011001"	4
			"01001011011"	73
			"01010000110"	63
			"01011000110"	23
			"01011000111"	11
			"01011001110"	649
			"01011001111"	142
			"11011100010"	449
			"11011110010"	24
			"11011110011"	204
			"11011111011"	9

4			"00000000000"	1
			"00000001000"	4
			"00000001001"	2
			"00000001010"	19
			"00001001010"	7
			"00001001110"	3
			"00010001000"	5
			"00010001001"	12
			"00010111001"	12
			"00011001110"	14
			"10000001010"	14
			"10000001011"	53
			"10000110011"	75
			"10001001010"	7
			"10001001011"	109
			"10001110011"	685
			"10100000010"	14
			"10100001010"	8
			"10100001011"	21
			"10100110011"	261
			"10101001010"	43
			"10101110011"	648
			"11000110011"	11
			"11001110011"	20

5			"00000000000"	1
			"01000010100"	14
			"01000100100"	10
			"01000110100"	7
			"01011011101"	950
			"01011011111"	93
			"01100010100"	11
			"01100100100"	11
			"01100110100"	3
			"01101010100"	292
			"01101100100"	83
			"01101110100"	34
			"11011011101"	539

6			"00000000000"	1
			"00100000000"	2
			"00100011001"	72
			"00100100000"	4
			"00100111001"	88
			"01000000000"	1
			"01000011001"	28
			"01000011011"	1792
			"01100011001"	20
			"01100111001"	32
			"10000000000"	1
			"10100000000"	2
			"10100100000"	4
			"11000000000"	1

7			"00000000000"	1
			"00000001011"	5
			"00000101011"	22
			"00010101011"	6
			"00100100011"	38
			"00110100011"	5
			"01010101011"	13
			"01110100011"	9
			"10000000100"	11
			"10000001011"	123
			"10000101011"	229
			"10001101011"	96
			"10100100011"	75
			"10100100101"	58
			"10100100111"	42
			"10100101011"	242
			"10101100011"	128
			"10101100101"	30
			"10101100111"	34
			"10101101011"	32
			"10110100101"	268
			"10110100111"	21
			"10111100101"	55
			"10111100111"	25
			"11110100101"	348
			"11110100111"	20
			"11111100101"	89
			"11111100111"	23

8			"00000000000"	1
			"00000000010"	2
			"00000000100"	10
			"00000010000"	18
			"00000010010"	43
			"00000010100"	115
			"00000011000"	28
			"00000011100"	194
			"00001010000"	14
			"00001010010"	4
			"00010000000"	1
			"00010000010"	2
			"00010010000"	166
			"00010010010"	188
			"00010100000"	2
			"00010100010"	10
			"00010100100"	23
			"00010110000"	3
			"00010110010"	35
			"00010110100"	19
			"00011010000"	2
			"00011010010"	4
			"00011110000"	31
			"00011110010"	397
			"00100001101"	63
			"00100001111"	21
			"00110001101"	31
			"00110101011"	20
			"00110101101"	6
			"00110101111"	34
			"00111101011"	48
			"01000000000"	1
			"01000000100"	6
			"01000010000"	9
			"01000010100"	22
			"01000011000"	24
			"01000011100"	64
			"01001010000"	6
			"01010000000"	1
			"01010010000"	120
			"01010100000"	2
			"01010100100"	2
			"01010110000"	4
			"01010110100"	2
			"01011010000"	2
			"01011110000"	9
			"01100001101"	46
			"01110001101"	19
			"01110101101"	14
			"10000000100"	8
			"10100001101"	51
			"10100001111"	11
			"10100101101"	17
			"10100101111"	43
			"10110100111"	12
			"10110101101"	4
			"10110101111"	14

9			"00000000000"	1
			"00000000001"	7
			"00000001001"	1
			"00000100000"	1
			"00000100001"	3
			"00000101001"	1
			"00001000100"	9
			"00001000101"	31
			"00001001101"	2
			"00001100001"	11
			"00001100100"	2
			"00001100101"	4
			"00001101101"	1
			"00010010000"	36
			"00011010100"	97
			"00101000100"	23
			"00101000101"	108
			"00101000110"	125
			"00101001101"	8
			"00101001110"	12
			"00101001111"	5
			"00101100010"	14
			"00101100011"	7
			"00101100100"	8
			"00101100101"	36
			"00101100110"	21
			"00101101010"	5
			"00101101011"	2
			"00101101101"	4
			"00101101110"	7
			"00101101111"	7
			"00111010100"	260
			"00111010110"	279
			"01001000010"	90
			"01001000011"	27
			"01001000100"	3
			"01001000101"	43
			"01001000110"	70
			"01001001010"	8
			"01001001011"	4
			"01001001101"	2
			"01001001110"	8
			"01001001111"	7
			"01001100001"	14
			"01001100010"	42
			"01001100011"	11
			"01001100100"	1
			"01001100101"	1
			"01001101010"	16
			"01001101011"	13
			"01001101101"	1
			"01011010010"	192
			"01011010100"	51
			"01011010110"	200
			"01101000110"	25
			"01101001110"	4
			"01101001111"	3
			"01101100010"	2
			"01101100011"	1
			"01101100110"	1
			"01101101010"	3
			"01101101011"	2
			"01101101110"	1
			"01101101111"	1
			"01111010110"	37
			"10000000000"	1
			"10000000001"	1
			"10000100000"	1
			"10000100001"	1
			"10001000100"	2
			"10001000101"	3
			"10001100001"	2
			"10001100100"	1
			"10001100101"	1
			"10101000100"	3
			"10101000101"	4
			"10101100100"	2
			"10101100101"	4

10			"00000000000"	29
			"00000000010"	1
			"00000100000"	72
			"00000100010"	6
			"00000110000"	32
			"00000110100"	15
			"00000110110"	1
			"00001110100"	12
			"00100000000"	35
			"00100000010"	1
			"00100000100"	97
			"00100000110"	7
			"00100001000"	12
			"00100001100"	12
			"00100010100"	104
			"00100011100"	12
			"00100110100"	8
			"00101000100"	156
			"00101010100"	444
			"00101011100"	8
			"00101110100"	40
			"01000100000"	14
			"01000100010"	2
			"01000110000"	16
			"01100000000"	108
			"01100000010"	2
			"01100000100"	112
			"01100000110"	8
			"01100001000"	14
			"01100001100"	12
			"01100010100"	89
			"01100011100"	12
			"01100100000"	80
			"01100100010"	4
			"01100110100"	23
			"10000000000"	44
			"10000100000"	24
			"10001110100"	40
			"10101000100"	324
			"11000100000"	16

11			"00000000000"	1
			"00000000101"	2
			"00001000000"	1
			"00001000101"	6
			"00001110000"	2
			"00001110101"	41
			"00001111101"	40
			"10000000000"	2
			"10000000101"	56
			"10001110000"	5
			"10001110101"	1303
			"10001111101"	40
			"10100000000"	4
			"10101110000"	7
			"10101111100"	64
			"10101111101"	80
			"11000000000"	12
			"11001110000"	57
			"11100000000"	12
			"11101110000"	57
			"11101111100"	256

12			"00000000000"	4
			"00000000001"	4
			"00000000100"	11
			"00000010000"	2
			"00000010001"	2
			"00000010100"	2
			"00100101000"	124
			"00100111000"	6
			"01010000100"	5
			"01010001100"	8
			"01010101100"	4
			"01011101010"	12
			"01011101110"	45
			"01110101000"	29
			"01110101100"	5
			"01111101010"	43
			"10000000000"	3
			"10000000100"	1
			"10000001000"	49
			"10000001100"	65
			"10000010000"	3
			"10000010100"	1
			"10000011000"	82
			"10000011100"	33
			"10001010010"	12
			"10001010110"	4
			"10001011010"	23
			"10001011110"	7
			"10001111000"	10
			"10001111010"	1098
			"10001111100"	6
			"10001111110"	236
			"10100001000"	78
			"10100011000"	4
			"10100101000"	2
			"10100111000"	2
			"11010001100"	13
			"11011001010"	1
			"11011001110"	1
			"11011101010"	3
			"11011101110"	5

13			"00000000000"	5
			"00000000100"	13
			"00000001000"	3
			"00000001100"	3
			"00000010000"	3
			"00000100000"	112
			"00000110000"	75
			"00001000010"	76
			"00001000100"	14
			"00001000110"	16
			"00001001000"	3
			"00001001010"	3
			"00001001100"	6
			"00001010010"	26
			"00001100010"	12
			"00001110010"	28
			"00010100000"	5
			"00010100010"	5
			"00011000010"	7
			"00011100010"	3
			"00100100100"	40
			"00100100101"	3
			"00100101101"	13
			"00110100000"	58
			"00110100001"	197
			"00110100010"	4
			"00110100011"	11
			"00110100100"	8
			"00110100101"	8
			"00111100010"	15
			"00111100011"	34
			"00111100110"	2
			"00111100111"	2
			"01000010000"	2
			"01000010001"	1
			"01001010010"	10
			"01001010011"	4
			"01100000101"	92
			"01100001101"	24
			"01100100101"	109
			"01100110001"	6
			"01101000101"	165
			"01101000111"	130
			"01101001101"	57
			"01101110011"	2
			"01110000101"	74
			"01110100001"	49
			"01110100011"	10
			"01110100101"	87
			"01110110001"	2
			"01110110011"	2
			"01111000111"	388
			"01111100011"	15
			"01111100111"	4
			"01111110011"	2

14			"00000000000"	1
			"00000001000"	1
			"00000011000"	2
			"00000011001"	2
			"00000011010"	4
			"00000100000"	3
			"00000101000"	13
			"00101000110"	9
			"00101000111"	298
			"00101010110"	12
			"00101010111"	56
			"00101100111"	7
			"01000000000"	1
			"01000001000"	3
			"01000011000"	2
			"01000011001"	2
			"01000100000"	3
			"01000101000"	19
			"01101000100"	20
			"01101000101"	596
			"01101000110"	13
			"01101000111"	334
			"01101010100"	10
			"01101010101"	70
			"01101010110"	2
			"01101010111"	22
			"01101100101"	20
			"01101100111"	11
